data;
set PLANES := fq fi ah sc yi xr lw cn ly pg yw vw bp nn ze dy rb fx xl fd vn cm de tm ci wm az wx jb md fr hk mi ee xf mq bl iv ot jl sz ea vs rz fk ab sx ru yo pi fm aa uz zm id ue li jq pk aw cd gv my ta vc dv tc gy rp mx tp cx af fb yf wp sn no gi bb we tq vq mn ph ou rr qb tg jt vm gm ia mf wi qs bx wo fc pn gb nu ms us ro ra ii tw kn oi dk sm co ka zk tr ur ix yh nk vt lq ga ow sg qk ax vl ye ip rk oj vh sk jh oe ao mw xj ev in fo so mg oo lv ac cg sb bt xd ox wr bc kl iq he ei up zs ch tb go xb ir rw jx or bq hh rg yd hq yn mt sy gq rm kt wb jo ob mr rf mh nm oy lj yb sj ez sf sl mp mk se bo qu ik nz fp xv es po ft hn av gk ht rd yp np vg fe ul bw xq ak kp xn of zz yq lh ja uu gc br kw me qd iz tx bd cv uo zb xm vr kq da do ut df im wc cc ym ce kd;

param: E T L g h :=
fq 601 1154 2401 1.18 1.46
fi 641 925 2441 1.35 1.37
ah 808 1274 2608 1.66 1.33
sc 1092 1603 2892 1.06 1.33
yi 1197 1718 2997 1.42 1.46
xr 1299 1639 3099 1.95 1.88
lw 1532 1766 3332 1.38 1.46
cn 1628 1759 3428 1.94 1.02
ly 2078 2475 3878 1.59 1.31
pg 2428 2700 4228 1.31 1.34
yw 2495 2817 4295 1.99 1.35
vw 2524 3026 4324 1.86 1.14
bp 2702 2995 4502 1.22 1.27
nn 2866 3020 4666 1.37 1.89
ze 2921 3190 4721 1.26 1.16
dy 2961 3503 4761 1.02 1.25
rb 3004 3462 4804 1.83 1.83
fx 3102 3370 4902 1.84 1.57
xl 3118 3501 4918 1.59 1.76
fd 3344 3903 5144 1.45 1.96
vn 3372 3918 5172 1.07 1.32
cm 3454 3546 5254 1.08 1.15
de 3737 4307 5537 1.64 1.42
tm 3747 4015 5547 1.58 1.53
ci 3889 4217 5689 1.23 1.51
wm 3899 4367 5699 1.07 1.31
az 4179 4396 5979 1.61 1.09
wx 4270 4710 6070 1.45 1.95
jb 4565 4714 6365 1.10 1.26
md 4605 4943 6405 1.51 1.98
fr 4670 4971 6470 1.83 1.57
hk 4678 5147 6478 1.04 1.89
mi 4694 5018 6494 1.28 1.76
ee 5041 5164 6841 1.47 1.58
xf 5124 5656 6924 1.39 1.54
mq 5157 5564 6957 1.67 1.61
bl 5312 5457 7112 1.52 1.85
iv 5359 5864 7159 1.65 1.35
ot 5365 5857 7165 1.44 1.53
jl 5506 5967 7306 1.23 1.51
sz 5539 5821 7339 1.01 1.89
ea 5657 6229 7457 1.98 1.93
vs 5705 5911 7505 1.90 1.98
rz 5719 6292 7519 1.28 1.38
fk 5859 6007 7659 1.37 1.09
ab 5911 6477 7711 1.55 1.71
sx 6087 6356 7887 1.53 1.34
ru 6119 6525 7919 1.55 1.11
yo 6213 6529 8013 1.90 1.47
pi 6251 6359 8051 1.54 1.43
fm 6256 6458 8056 1.22 1.30
aa 6315 6380 8115 1.75 1.66
uz 6317 6569 8117 1.24 1.43
zm 6331 6704 8131 1.12 1.90
id 6486 6834 8286 1.73 1.23
ue 6764 7331 8564 1.57 1.63
li 6799 7180 8599 1.37 1.80
jq 6922 7006 8722 1.88 1.30
pk 7189 7444 8989 1.57 1.15
aw 7384 7798 9184 1.88 1.40
cd 7525 8080 9325 1.11 1.78
gv 7622 8102 9422 1.75 1.71
my 7769 8201 9569 1.44 1.68
ta 8062 8588 9862 1.20 1.34
vc 8108 8303 9908 1.04 1.25
dv 8150 8526 9950 1.50 1.85
tc 8258 8726 10058 1.63 1.80
gy 8272 8424 10072 1.37 1.56
rp 8302 8817 10102 1.49 1.25
mx 8522 8673 10322 1.54 1.69
tp 8625 8990 10425 1.38 1.75
cx 8689 9158 10489 1.16 1.32
af 8954 9080 10754 1.29 1.25
fb 9034 9493 10834 1.50 1.66
yf 9122 9483 10922 1.40 1.38
wp 9146 9725 10946 1.13 1.71
sn 9270 9363 11070 1.24 2.00
no 9326 9641 11126 1.11 1.80
gi 9398 9600 11198 1.53 1.00
bb 9977 10047 11777 1.08 1.09
we 10057 10353 11857 2.00 1.67
tq 10138 10732 11938 1.71 1.49
vq 10266 10447 12066 1.59 1.83
mn 10316 10557 12116 1.28 1.74
ph 10411 10910 12211 1.17 1.49
ou 10473 10921 12273 1.04 1.89
rr 10488 10861 12288 1.82 1.42
qb 10627 10801 12427 1.64 1.56
tg 10660 11131 12460 1.14 1.37
jt 10711 11143 12511 1.41 1.42
vm 10773 11202 12573 1.83 1.31
gm 11018 11090 12818 1.27 1.46
ia 11058 11638 12858 1.06 1.92
mf 11182 11353 12982 1.76 1.77
wi 11422 11679 13222 1.61 1.54
qs 11433 11878 13233 1.78 1.04
bx 11444 11527 13244 1.59 1.38
wo 11465 11810 13265 1.90 1.61
fc 11547 11632 13347 1.72 1.32
pn 11570 11863 13370 1.74 1.53
gb 11687 11759 13487 1.03 1.14
nu 11782 12345 13582 1.37 1.60
ms 12280 12378 14080 1.66 1.69
us 12308 12607 14108 1.15 1.67
ro 12437 12954 14237 1.62 1.01
ra 12472 13016 14272 1.44 1.35
ii 12621 12795 14421 1.28 1.91
tw 12672 12820 14472 1.61 1.78
kn 12939 13347 14739 1.12 1.66
oi 13125 13281 14925 1.06 1.63
dk 13187 13522 14987 1.65 1.60
sm 13287 13802 15087 1.11 1.65
co 13419 13857 15219 1.94 1.47
ka 13520 13599 15320 1.64 1.43
zk 13588 14046 15388 1.52 1.69
tr 13619 13751 15419 1.16 1.27
ur 13967 14205 15767 1.90 1.78
ix 14034 14309 15834 1.55 1.59
yh 14083 14337 15883 1.92 1.14
nk 14120 14469 15920 1.23 1.67
vt 14129 14485 15929 1.61 1.86
lq 14373 14530 16173 1.00 1.70
ga 14374 14590 16174 1.07 1.91
ow 14407 14662 16207 1.21 1.53
sg 14410 14962 16210 1.43 1.52
qk 14543 14889 16343 1.50 1.28
ax 14647 14955 16447 1.29 1.85
vl 14687 14788 16487 1.01 1.72
ye 14710 15290 16510 1.25 1.07
ip 14854 15406 16654 1.89 1.08
rk 14878 15056 16678 1.55 1.44
oj 15002 15094 16802 1.13 1.17
vh 15024 15243 16824 1.43 1.19
sk 15054 15498 16854 1.84 1.38
jh 15098 15552 16898 1.38 1.44
oe 15238 15367 17038 1.70 1.70
ao 15668 16222 17468 1.05 1.23
mw 15859 16444 17659 1.49 1.04
xj 15902 16027 17702 1.61 1.10
ev 15965 16183 17765 1.13 1.32
in 16115 16258 17915 1.24 1.34
fo 16147 16315 17947 1.08 1.87
so 16279 16692 18079 1.16 1.98
mg 16292 16438 18092 1.20 1.53
oo 16398 16642 18198 1.59 1.15
lv 16461 17020 18261 1.39 1.93
ac 16557 16669 18357 1.15 1.35
cg 16606 16711 18406 1.80 1.76
sb 16732 17160 18532 1.84 1.77
bt 17117 17351 18917 1.74 1.84
xd 17279 17837 19079 1.07 1.36
ox 17449 17828 19249 1.68 1.77
wr 17633 18103 19433 1.36 1.77
bc 17734 18043 19534 1.73 1.75
kl 17807 18008 19607 1.69 1.11
iq 17970 18319 19770 1.53 1.18
he 18080 18522 19880 1.45 1.45
ei 18327 18394 20127 1.29 1.37
up 18329 18886 20129 1.49 1.33
zs 18452 18899 20252 1.10 1.25
ch 18742 18821 20542 1.33 1.43
tb 18745 19103 20545 1.28 1.67
go 18923 19512 20723 1.80 1.54
xb 19002 19116 20802 1.29 1.08
ir 19152 19699 20952 1.75 1.88
rw 19196 19506 20996 1.68 1.08
jx 19205 19798 21005 1.74 1.54
or 19278 19350 21078 1.51 1.32
bq 19306 19800 21106 1.64 1.05
hh 19365 19727 21165 1.60 1.56
rg 19487 19810 21287 1.24 1.46
yd 19541 19743 21341 1.05 1.62
hq 19723 19820 21523 1.24 1.66
yn 19843 20241 21643 1.22 1.29
mt 20006 20360 21806 1.17 1.31
sy 20478 20639 22278 1.39 1.01
gq 20579 20679 22379 1.70 1.35
rm 20617 20743 22417 1.01 1.01
kt 20652 20728 22452 1.52 1.91
wb 20697 20851 22497 1.01 1.52
jo 20889 21258 22689 1.76 1.82
ob 20907 21090 22707 1.37 1.64
mr 21042 21324 22842 1.65 1.33
rf 21138 21221 22938 1.87 1.31
mh 21206 21803 23006 1.11 1.22
nm 21451 21829 23251 1.48 1.67
oy 21518 22057 23318 1.88 1.07
lj 21640 22153 23440 1.78 1.92
yb 21904 22375 23704 1.22 1.10
sj 22143 22252 23943 1.83 1.21
ez 22149 22738 23949 1.89 1.71
sf 22162 22640 23962 1.36 1.45
sl 22257 22724 24057 1.66 1.58
mp 22292 22664 24092 1.56 1.77
mk 22314 22797 24114 1.18 1.50
se 22513 22662 24313 1.59 1.24
