data;
set PLANES := iz ia dn xl gy wj yk yx ve jr ug yz co we xn pa nb la od ao aq vb iu gn ne vi zo xo pj ka xu bk zw vd pt bx dr ww zn qq tk uy uc rh pn rw io xf bt ib xt br pz wn zd rj kr al do zr uu wm kw uk va lj vh lp zq vf lw tq wb ex lz jj ee yj jh um mq nv fn le zh rn of xk xh dy ic ci xg jb eh sy kl uv sd ar hn bp tu hb xj se zz db xr xb nh cj hw dg jt fi ag yh rp fz zb om ua ti eg jm ff gx ny ii nz bf vq ap hu qc fs pd rx af tx py je wd mc di td li qw wa ll wy jq mm lg gu zg pb xw pl za xi ke dq bl nx ik pi pv kb hp qi wq sv bh ec wc nn th bm lh ul vg wk mi ov gs gz zc nd ej iw qz kk oq bz zu rm cz zy;

param: E T L g h :=
iz 601 1154 2401 1.77 1.22
ia 807 1359 2607 1.73 1.81
dn 958 1073 2758 1.17 1.25
xl 981 1417 2781 1.29 1.69
gy 1099 1261 2899 1.44 1.14
wj 1174 1442 2974 1.47 1.97
yk 1186 1523 2986 1.79 1.51
yx 1189 1323 2989 1.76 1.98
ve 1194 1605 2994 1.30 1.79
jr 1211 1456 3011 1.97 1.25
ug 1243 1471 3043 1.33 1.98
yz 1490 1762 3290 1.77 1.79
co 1785 1907 3585 1.12 1.71
we 1867 2139 3667 1.41 1.84
xn 2232 2582 4032 1.46 1.16
pa 2235 2779 4035 1.02 1.43
nb 2286 2768 4086 1.04 1.25
la 2391 2776 4191 1.32 1.26
od 2581 2730 4381 1.01 1.02
ao 2634 3092 4434 1.26 1.01
aq 2666 2879 4466 1.66 1.78
vb 2719 3154 4519 1.80 1.95
iu 2829 2940 4629 1.41 1.76
gn 2868 3246 4668 1.82 1.85
ne 2877 3424 4677 1.27 1.35
vi 3373 3938 5173 1.83 1.82
zo 3427 3858 5227 1.50 1.41
xo 3511 3779 5311 1.96 1.37
pj 3557 3635 5357 1.84 1.23
ka 3568 4046 5368 1.68 1.00
xu 3689 3848 5489 1.50 1.99
bk 3738 4041 5538 1.78 1.78
zw 3757 4068 5557 1.07 1.53
vd 3809 4400 5609 1.84 1.23
pt 4258 4794 6058 1.78 1.85
bx 4297 4666 6097 1.26 1.61
dr 4316 4651 6116 1.28 1.61
ww 4359 4509 6159 1.20 1.31
zn 4613 4739 6413 1.84 1.83
qq 5054 5518 6854 1.65 1.10
tk 5117 5658 6917 1.30 1.54
uy 5143 5538 6943 1.88 1.00
uc 5221 5545 7021 1.08 1.05
rh 5321 5548 7121 1.55 1.63
pn 5442 5729 7242 1.94 1.62
