data;
set PLANES := vp dk mz uy wf xl qj cb cq hm ht ez mp ei xx se wt ix cw qg;

param: E T L g h :=
vp 82 92 510 30.00 30.00
dk 84 93 509 30.00 30.00
mz 150 183 599 10.00 10.00
uy 204 270 760 10.00 10.00
wf 89 98 510 30.00 30.00
xl 104 117 552 30.00 30.00
qj 105 118 550 30.00 30.00
cb 105 116 542 30.00 30.00
cq 101 112 528 30.00 30.00
hm 221 280 742 10.00 10.00
ht 232 295 766 10.00 10.00
ez 138 156 630 30.00 30.00
mp 123 137 573 30.00 30.00
ei 235 291 746 10.00 10.00
xx 153 174 663 30.00 30.00
se 140 156 609 30.00 30.00
wt 151 170 642 30.00 30.00
ix 151 169 634 30.00 30.00
cw 150 168 627 30.00 30.00
qg 286 357 840 10.00 10.00
;
param S:  vp dk mz uy wf xl qj cb cq hm ht ez mp ei xx se wt ix cw qg :=
vp 99999 8 15 15 8 8 8 8 8 15 15 8 8 15 8 8 8 8 8 15
dk 8 99999 15 15 8 8 8 8 8 15 15 8 8 15 8 8 8 8 8 15
mz 15 15 99999 3 15 15 15 15 15 3 3 15 15 3 15 15 15 15 15 3
uy 15 15 3 99999 15 15 15 15 15 3 3 15 15 3 15 15 15 15 15 3
wf 8 8 15 15 99999 8 8 8 8 15 15 8 8 15 8 8 8 8 8 15
xl 8 8 15 15 8 99999 8 8 8 15 15 8 8 15 8 8 8 8 8 15
qj 8 8 15 15 8 8 99999 8 8 15 15 8 8 15 8 8 8 8 8 15
cb 8 8 15 15 8 8 8 99999 8 15 15 8 8 15 8 8 8 8 8 15
cq 8 8 15 15 8 8 8 8 99999 15 15 8 8 15 8 8 8 8 8 15
hm 15 15 3 3 15 15 15 15 15 99999 3 15 15 3 15 15 15 15 15 3
ht 15 15 3 3 15 15 15 15 15 3 99999 15 15 3 15 15 15 15 15 3
ez 8 8 15 15 8 8 8 8 8 15 15 99999 8 15 8 8 8 8 8 15
mp 8 8 15 15 8 8 8 8 8 15 15 8 99999 15 8 8 8 8 8 15
ei 15 15 3 3 15 15 15 15 15 3 3 15 15 99999 15 15 15 15 15 3
xx 8 8 15 15 8 8 8 8 8 15 15 8 8 15 99999 8 8 8 8 15
se 8 8 15 15 8 8 8 8 8 15 15 8 8 15 8 99999 8 8 8 15
wt 8 8 15 15 8 8 8 8 8 15 15 8 8 15 8 8 99999 8 8 15
ix 8 8 15 15 8 8 8 8 8 15 15 8 8 15 8 8 8 99999 8 15
cw 8 8 15 15 8 8 8 8 8 15 15 8 8 15 8 8 8 8 99999 15
qg 15 15 3 3 15 15 15 15 15 3 3 15 15 3 15 15 15 15 15 99999
;


end;
